SYMBOL_CODE,SYMBOL_NAME,MARKET_TYPE,ASSETS_TYPE,PUBLIC_DATE,INDUSTRY
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
080839　勤誠群益38購05,TW24Z0808392,2024/02/23,上市,,RWSCCA
08083T　啟碁凱基3B售03,TW24Z08083T7,2024/04/29,上市,,RWSCPE
080840　臺股指群益38購13,TW24Z0808400,2024/02/23,上市,,RWICCE
080841　臺股指群益38購14,TW24Z0808418,2024/02/23,上市,,RWICCE
080842　臺股指群益38購15,TW24Z0808426,2024/02/23,上市,,RWICCE
080843　臺股指群益38購16,TW24Z0808434,2024/02/23,上市,,RWICCE
080844　臺股指群益38購17,TW24Z0808442,2024/02/23,上市,,RWICCE
080845　電子類群益38購01,TW24Z0808459,2024/02/23,上市,,RWICCE
080846　中興電國泰3A購01,TW24Z0808467,2024/02/26,上市,,RWSCCA
080847　華通國泰3A購01,TW24Z0808475,2024/02/26,上市,,RWSCCA
080848　辛耘國泰3A購01,TW24Z0808483,2024/02/26,上市,,RWSCCA
080849　中砂兆豐3A購02,TW24Z0808491,2024/02/26,上市,,RWSCCA
08084T　矽力凱基3A售06,TW24Z08084T5,2024/04/29,上市,,RWSCPE
080850　晶心科兆豐3B購01,TW24Z0808509,2024/02/26,上市,,RWSCCA
080851　士電台新38購01,TW24Z0808517,2024/02/26,上市,,RWSCCE
080852　聯發科台新39購01,TW24Z0808525,2024/02/26,上市,,RWSCCE
080853　緯創台新39購01,TW24Z0808533,2024/02/26,上市,,RWSCCE
080854　高力台新38購01,TW24Z0808541,2024/02/26,上市,,RWSCCE
080855　采鈺康和38購01,TW24Z0808558,2024/02/26,上市,,RWSCCA
080856　滬深2X國票42購02,TW24Z0808566,2024/02/26,上市,,RWBCCA
080857　美債2X國票3A購01,TW24Z0808574,2024/02/26,上市,,RWBCCA
080858　美債2X國票3C購01,TW24Z0808582,2024/02/26,上市,,RWBCCA
080859　FB越南國票3B購01,TW24Z0808590,2024/02/26,上市,,RWBCCA
08085T　臺股指凱基43售16,TW24Z08085T2,2024/04/29,上市,,RWICPE
080860　中砂國票39購03,TW24Z0808608,2024/02/26,上市,,RWSCCA
